name,pos,completion_pts,pass_yd_pts,pass_td_pts,pass_int_pts,rush_attempt_pts,rush_yd_pts,rush_td_pts,rec_pts,rec_yd_pts,rec_td_pts,fumble_lost_pts,fg,fg_missed,xpt,total_pts,total_pts_rank,adp_rank,MFL,FFC,ESPN,CBS,MDC,FPros,adp_avg,drafted
Sam Bradford (STL),QB,83.4500,155.3000,116.5000,-13.7000,7.9250,5.9630,4.2000,NA,NA,NA,-4.7000,NA,NA,NA,354.9380,20.0,147.0,138.0,153.0,128.0,132.0,210.0,150.0,151.8,0.0
Joe Flacco (BAL),QB,83.7250,157.8800,111.0000,-13.3000,8.6750,4.1138,6.6000,NA,NA,NA,-4.9000,NA,NA,NA,353.7938,21.0,135.0,113.0,151.0,117.0,136.0,203.0,133.0,142.2,0.0
Ben Roethlisberger (PIT),QB,79.3250,147.5040,118.0000,-10.7000,7.2500,6.5392,9.6000,NA,NA,NA,-3.9000,NA,NA,NA,353.6182,22.0,127.0,111.0,139.0,102.0,130.0,193.0,118.0,132.2,0.0
Michael Vick (PHI),QB,67.4750,127.4320,96.5000,-11.4000,19.5500,32.9372,18.6000,NA,NA,NA,-5.0000,NA,NA,NA,346.0942,23.0,106.0,97.0,99.0,100.0,113.0,151.0,93.0,108.8,0.0
Alex Smith (KC),QB,81.0250,147.1440,101.5000,-11.2000,10.2000,10.3649,4.8000,NA,NA,NA,-4.0000,NA,NA,NA,339.8339,24.0,167.0,162.0,165.0,137.0,152.0,257.0,178.0,175.2,0.0
Ryan Tannehill (MIA),QB,79.2000,142.2480,94.0000,-14.0000,12.9500,13.4067,10.2000,NA,NA,NA,-4.2000,NA,NA,NA,333.8047,25.0,187.0,173.0,179.0,169.0,168.0,212.0,198.0,183.2,0.0
Adrian Peterson (MIN),RB,NA,NA,NA,NA,81.7500,110.7108,76.2000,39.1000,18.7667,8.4000,-2.4000,NA,NA,NA,332.5275,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Brandon Weeden (CLE),QB,77.3000,148.8640,101.0000,-14.8000,6.0750,6.2712,1.2000,NA,NA,NA,-2.9000,NA,NA,NA,323.0102,27.0,230.0,198.0,NA,NA,177.0,241.0,208.0,206.0,0.0
Doug Martin (TB),RB,NA,NA,NA,NA,75.0500,90.7180,57.6000,53.6000,29.5939,9.0000,-1.2000,NA,NA,NA,314.3619,28.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.7,0.0
Jake Locker (TEN),QB,66.4250,127.4960,85.0000,-13.7000,13.8250,21.0581,9.0000,NA,NA,NA,-3.4000,NA,NA,NA,305.7041,29.0,244.0,220.0,NA,NA,197.0,NA,240.0,219.0,0.0
Arian Foster (HOU),RB,NA,NA,NA,NA,73.5000,86.8521,68.4000,42.0000,24.4014,11.4000,-2.0000,NA,NA,NA,304.5535,30.0,3.0,3.0,7.0,2.0,3.0,6.0,3.0,4.0,0.0
C.J. Spiller (BUF),RB,NA,NA,NA,NA,71.6000,96.3058,45.0000,48.7000,29.3661,14.4000,-2.5000,NA,NA,NA,302.8719,31.0,6.0,8.0,6.0,7.0,5.0,2.0,4.0,5.3,0.0
Trent Richardson (CLE),RB,NA,NA,NA,NA,73.6000,82.6378,59.4000,49.2000,26.3779,9.0000,-1.7000,NA,NA,NA,298.5157,32.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,9.5,0.0
Jamaal Charles (KC),RB,NA,NA,NA,NA,63.1750,94.7581,39.6000,57.4000,31.5101,12.6000,-2.5000,NA,NA,NA,296.5432,33.0,4.0,5.0,3.0,6.0,4.0,5.0,5.0,4.7,0.0
Ray Rice (BAL),RB,NA,NA,NA,NA,63.0000,77.6262,49.2000,60.8000,33.1114,12.6000,-1.8000,NA,NA,NA,294.5376,34.0,7.0,7.0,9.0,4.0,7.0,8.0,7.0,7.0,0.0
LeSean McCoy (PHI),RB,NA,NA,NA,NA,66.6500,81.2375,50.4000,53.5000,27.4365,13.2000,-2.2000,NA,NA,NA,290.2240,35.0,10.0,11.0,5.0,12.0,11.0,12.0,8.0,9.8,0.0
E.J. Manuel (BUF),QB,61.2750,113.4520,81.5000,-14.2000,14.3750,20.7231,10.2000,NA,NA,NA,-3.8000,NA,NA,NA,283.5251,36.0,202.0,188.0,188.0,168.0,187.0,235.0,213.0,196.5,0.0
Marshawn Lynch (SEA),RB,NA,NA,NA,NA,74.6500,95.7631,67.8000,24.9000,13.0985,5.4000,-2.4000,NA,NA,NA,279.2116,37.0,5.0,4.0,4.0,3.0,6.0,7.0,6.0,5.0,0.0
Calvin Johnson (DET),WR,NA,NA,NA,NA,0.1750,0.3350,0.0000,105.3000,110.7108,61.8000,-1.2000,NA,NA,NA,277.1208,38.0,8.0,6.0,10.0,9.0,9.0,4.0,9.0,7.8,0.0
Matt Forte (CHI),RB,NA,NA,NA,NA,63.0250,75.5760,32.4000,61.0000,31.1751,14.4000,-2.1000,NA,NA,NA,275.4761,39.0,14.0,16.0,12.0,18.0,14.0,18.0,14.0,15.3,0.0
Christian Ponder (MIN),QB,61.9500,111.6360,82.5000,-12.7000,10.4750,12.9109,4.8000,NA,NA,NA,-4.4000,NA,NA,NA,267.1719,40.0,249.0,226.0,NA,NA,201.0,NA,248.0,225.0,0.0
